symbol,hour_ms,funding_rate
BNBUSDT,1592611200000,0.0
BNBUSDT,1592640000000,0.0
BNBUSDT,1592668800000,0.0
BNBUSDT,1592697600000,0.00022272
BNBUSDT,1592726400000,0.00023167
BNBUSDT,1592755200000,0.00012856
BNBUSDT,1592784000000,0.00015194
BNBUSDT,1592812800000,0.00055942
BNBUSDT,1592841600000,0.00050433
BNBUSDT,1592870400000,0.00041717
BNBUSDT,1592899200000,0.00032418
BNBUSDT,1592928000000,0.00022358
BNBUSDT,1592956800000,0.00032558
BNBUSDT,1592985600000,0.00031154
BNBUSDT,1593014400000,0.00022791
BNBUSDT,1593043200000,0.00065156
BNBUSDT,1593072000000,0.0
BNBUSDT,1593100800000,0.0
BNBUSDT,1593129600000,0.0
BNBUSDT,1593158400000,0.0
BNBUSDT,1593187200000,0.0
BNBUSDT,1593216000000,0.0
BNBUSDT,1593244800000,0.0
BNBUSDT,1593273600000,0.0
BNBUSDT,1593302400000,0.0
BNBUSDT,1593331200000,0.0
BNBUSDT,1593360000000,0.0
BNBUSDT,1593388800000,0.0
BNBUSDT,1593417600000,0.0
BNBUSDT,1593446400000,0.0
BNBUSDT,1593475200000,0.0
BNBUSDT,1593504000000,7.46e-05
BNBUSDT,1593532800000,0.0
BNBUSDT,1593561600000,6.488e-05
BNBUSDT,1593590400000,0.00022682
BNBUSDT,1593619200000,3.501e-05
BNBUSDT,1593648000000,0.0
BNBUSDT,1593676800000,0.0
BNBUSDT,1593705600000,0.0
BNBUSDT,1593734400000,0.00015225
BNBUSDT,1593763200000,0.0
BNBUSDT,1593792000000,0.0
BNBUSDT,1593820800000,0.0
BNBUSDT,1593849600000,0.00026054
BNBUSDT,1593878400000,0.00020423
BNBUSDT,1593907200000,0.0
BNBUSDT,1593936000000,0.0
BNBUSDT,1593964800000,0.0
BNBUSDT,1593993600000,0.0
BNBUSDT,1594022400000,0.0
BNBUSDT,1594051200000,0.0010617
BNBUSDT,1594080000000,0.00045655
BNBUSDT,1594108800000,0.00098882
BNBUSDT,1594137600000,0.00088952
BNBUSDT,1594166400000,0.00078954
BNBUSDT,1594195200000,0.0
BNBUSDT,1594224000000,0.00013316
BNBUSDT,1594252800000,0.00048519
BNBUSDT,1594281600000,0.00010307
BNBUSDT,1594310400000,0.00019539
BNBUSDT,1594339200000,0.0
BNBUSDT,1594368000000,4.959e-05
BNBUSDT,1594396800000,0.00016453
BNBUSDT,1594425600000,0.00013604
BNBUSDT,1594454400000,0.00028831
BNBUSDT,1594483200000,0.0
BNBUSDT,1594512000000,0.0
BNBUSDT,1594540800000,0.0
BNBUSDT,1594569600000,0.00078054
BNBUSDT,1594598400000,0.00095522
BNBUSDT,1594627200000,0.00044795
BNBUSDT,1594656000000,0.000551
BNBUSDT,1594684800000,0.00010593
BNBUSDT,1594713600000,0.00066729
BNBUSDT,1594742400000,0.00084732
BNBUSDT,1594771200000,0.000419
BNBUSDT,1594800000000,0.00032947
BNBUSDT,1594828800000,0.00023178
BNBUSDT,1594857600000,0.00060186
BNBUSDT,1594886400000,0.0003019
BNBUSDT,1594915200000,0.0
BNBUSDT,1594944000000,0.0
BNBUSDT,1594972800000,0.0
BNBUSDT,1595001600000,0.0
BNBUSDT,1595030400000,0.0
BNBUSDT,1595059200000,0.0
BNBUSDT,1595088000000,0.0
BNBUSDT,1595116800000,0.0
BNBUSDT,1595145600000,0.0
BNBUSDT,1595174400000,0.0
BNBUSDT,1595203200000,0.00054102
BNBUSDT,1595232000000,0.0
BNBUSDT,1595260800000,0.0004598
BNBUSDT,1595289600000,0.00027418
BNBUSDT,1595318400000,0.00069242
BNBUSDT,1595347200000,0.0
BNBUSDT,1595376000000,0.0
BNBUSDT,1595404800000,0.0
BNBUSDT,1595433600000,0.00019297
BNBUSDT,1595462400000,0.00028134
BNBUSDT,1595491200000,0.0
BNBUSDT,1595520000000,0.00020308
BNBUSDT,1595548800000,7.66e-06
BNBUSDT,1595577600000,0.0
